书名,评分,作者,出版社,出版日期,价格,链接
一句顶一万句,8.7,刘震云,长江文艺出版社,2009-3,29.8,https://book.douban.com/subject/3633461/
看不见的城市,8.8,[意大利]伊塔洛·卡尔维诺,译林出版社,2006-8,16.0,https://book.douban.com/subject/1863930/
把时间当作朋友,8.4,李笑来,电子工业出版社,2009-6,32.0,https://book.douban.com/subject/3609132/
第一炉香,8.4,张爱玲,花城出版社,1997-3,11.5,https://book.douban.com/subject/1082162/
天使与魔鬼,8.2,[美] 丹.布朗,人民文学出版社,2005-2,29.8,https://book.douban.com/subject/1228110/
尼罗河上的惨案,8.7,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,22.0,https://book.douban.com/subject/1818347/
ZOO,8.6,[日] 乙一,当代世界出版社,2007-10,20.0,https://book.douban.com/subject/2297697/
文学回忆录（全2册）,9.2,木心 讲述,广西师范大学出版社,2013-1-10,98.0,https://book.douban.com/subject/20440644/
国境以南 太阳以西,8.3,[日] 村上春树,上海译文出版社,2001-8,13.5,https://book.douban.com/subject/1015452/
没有色彩的多崎作和他的巡礼之年,8.2,[日] 村上春树,南海出版公司,2013-10-1,39.5,https://book.douban.com/subject/25733470/
七夜雪,8.4,沧月,北京十月文艺出版社,2006-10,25.0,https://book.douban.com/subject/1919201/
哈姆莱特,8.5,[英] 莎士比亚,人民文学出版社,2001-1,7.0,https://book.douban.com/subject/1006197/
京华烟云,8.5,林语堂,陕西师范大学出版社,2005-7,43.0,https://book.douban.com/subject/1391191/
万水千山走遍,8.8,三毛,哈尔滨出版社,2003-08,13.8,https://book.douban.com/subject/1036490/
海子的诗,8.9,海子,人民文学出版社,1999-04,15.4,https://book.douban.com/subject/1011754/
芳华,8.1,严歌苓,人民文学出版社,2017-4-1,39.0,https://book.douban.com/subject/27010212/
雾都孤儿,8.1,[英]狄更斯,上海译文出版社,1991-7,10.1,https://book.douban.com/subject/1203251/
新参者,8.4,[日] 东野圭吾,南海出版公司,2011-9,28.0,https://book.douban.com/subject/6746289/
教父,9.0,[美]马里奥·普佐,译林出版社,1997-8,23.3,https://book.douban.com/subject/1092335/
娱乐至死,8.5,[美] 尼尔·波兹曼,广西师范大学出版社,2011-6,29.8,https://book.douban.com/subject/1062193/
一个叫欧维的男人决定去死,9.0,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,35.0,https://book.douban.com/subject/26672693/
台北人,8.9,白先勇,广西师范大学出版社,2010-10,38.0,https://book.douban.com/subject/5337248/
斯通纳,8.8,[美] 约翰·威廉斯,上海人民出版社,2016-1,49.0,https://book.douban.com/subject/26425831/
蔷薇岛屿,8.0,安妮宝贝,作家出版社,2002-8,18.0,https://book.douban.com/subject/1063190/
我的精神家园,9.1,王小波,文化艺术出版社,1997,18.8,https://book.douban.com/subject/1014578/
妻妾成群,8.2,苏童,上海文艺出版社,2004-8,23.0,https://book.douban.com/subject/1025753/
激荡三十年（上）,8.8,吴晓波,中信出版社 浙江人民出版社,2007-1,35.0,https://book.douban.com/subject/1970428/
最初的爱情 最后的仪式,8.0,[英] 伊恩·麦克尤恩,南京大学出版社,2010-2,22.0,https://book.douban.com/subject/4011440/
野火集,8.8,龙应台,文汇出版社,2005-8,25.0,https://book.douban.com/subject/1426971/
乡土中国,9.2,费孝通,上海人民出版社,2006-4,38.0,https://book.douban.com/subject/1795079/
九州·缥缈录,8.8,江南,新世界出版社,2005-6,20.0,https://book.douban.com/subject/1321017/
生活在别处,8.4,[捷克] 米兰·昆德拉,上海译文出版社,2004-5,25.0,https://book.douban.com/subject/1013225/
设计中的设计,8.6,[日] 原研哉,山东人民出版社,2006-11,48.0,https://book.douban.com/subject/1941558/
琅琊榜,8.5,海宴,朝华出版社,2007-12,49.8,https://book.douban.com/subject/2326571/
心是孤独的猎手,8.5,[美] 卡森·麦卡勒斯,上海三联书店,2005-8,25.0,https://book.douban.com/subject/1424741/
占星术杀人魔法,8.3,[日] 岛田庄司,新星出版社,2008-9,28.0,https://book.douban.com/subject/3187737/
我执,8.0,梁文道,广西师范大学出版社,2010-10,35.0,https://book.douban.com/subject/3642673/
